#,Moneda,Precio,1 h,24 h,7 d,Volumen en 24 h,Cap. de mercado,FDV,Cap merc/FDV
711,Ethereum Meta ETHM,"$0,000000000018",-,-,-,-,$18.090.558,$18.090.558,-
712,Shiba Predator QOM,"$0,000000030031",-0.3%,0.2%,-9.0%,$108.214,$18.063.424,$30.105.707,060
713,Streamr DATA,"$0,023510501019",-0.1%,-3.6%,-1.2%,$820.340,$18.009.412,$46.953.196,038
714,Koinos KOIN,"$0,598019",1.2%,-3.5%,14.9%,"$51.185,09",$17.974.556,$17.975.862,100
715,SnailBrook SNAIL,"$0,000222826417",0.1%,0.2%,-1.9%,$283.007,$17.907.823,$22.280.890,080
716,Velo VELO,"$0,002411140599",-0.1%,0.9%,-4.9%,$3.243.353,$17.808.531,$57.831.776,031
717,AirSwap AST,"$0,100032",-0.5%,-2.5%,-4.3%,$372.771,$17.787.770,$49.984.964,036
718,ArbDoge AI AIDOGE,"$0,000000000096",0.0%,7.3%,10.8%,$5.625.554,$17.692.699,$20.264.935,087
719,Proton XPR,"$0,000873157396",1.2%,4.5%,1.1%,$1.076.799,$17.571.570,$25.103.352,070
720,Kepple [OLD] QLC,"$0,029276131101",,5.9%,1.5%,"$10,25",$17.565.679,$17.565.679,100
721,Gamium GMM,"$0,000561330073",0.3%,-2.9%,0.9%,$237.700,$17.536.999,$17.960.499,098
722,FUSION FSN,"$0,233789",0.1%,-2.9%,-1.6%,$129.219,$17.368.843,$19.135.938,091
723,IX IXT,"$0,205107",0.0%,-7.0%,-18.6%,$123.811,$17.362.259,$31.516.905,055
724,Wing Finance WING,"$4,88",-0.3%,-2.1%,-0.4%,$2.085.224,$17.316.908,$24.471.176,071
725,Paris Saint-Germain Fan Token PSG,"$3,60",-0.1%,-0.7%,-4.4%,$2.113.423,$17.307.530,$71.513.922,024
726,JUNO JUNO,"$0,217256",0.1%,-0.9%,-6.8%,"$69.347,01",$17.270.981,$40.307.701,043
727,GameFi GAFI,"$2,07",-0.1%,-10.3%,-12.0%,$139.905,$17.253.647,$30.935.169,056
728,HOPR HOPR,"$0,046544864999",-0.1%,1.1%,4.7%,$261.221,$17.197.889,$46.552.631,037
729,Kava Lend HARD,"$0,127637",-0.1%,-0.6%,1.5%,$2.001.464,$17.197.222,$25.516.744,067
730,Lazio Fan Token LAZIO,"$2,15",-0.3%,-2.0%,-4.4%,$1.112.809,$17.187.067,$86.162.386,020
731,Frontier FRONT,"$0,200015",4.7%,32.8%,34.7%,$67.406.398,$17.163.522,$17.662.740,097
732,r/FortNiteBR Bricks BRICK,"$0,153508",-1.6%,-21.6%,37.4%,$633.740,$17.107.708,$17.107.708,100
733,agEUR AGEUR,"$1,09",0.1%,0.2%,-0.4%,$1.733.858,$17.053.381,$17.053.381,100
734,AXEL AXEL,"$0,140961",2.4%,1.9%,-3.1%,"$1.272,45",$16.928.383,$140.989.256,012
735,HydraDX HDX,"$0,006584885614",-0.4%,-2.7%,-3.9%,"$57.844,83",$16.890.031,$42.793.770,039
736,VeraOne VRO,"$61,04",-0.0%,-0.9%,-2.8%,"$22.777,36",$16.850.956,$16.850.956,100
737,Battle World BWO,"$0,062915027933",0.5%,0.4%,-4.0%,"$93.829,09",$16.847.140,$62.886.309,027
738,UniLend Finance UFT,"$0,269808",0.3%,3.7%,6.7%,$4.533.955,$16.823.464,$26.990.957,062
739,TOR TOR,"$0,984319",-0.0%,-0.1%,-0.8%,"$797,51",$16.806.573,$16.806.573,100
740,Swarm BZZ,"$0,270532",-0.2%,-1.2%,-4.3%,$435.576,$16.789.934,$16.789.934,100
741,RMRK RMRK,"$1,76",-0.3%,-1.1%,-0.8%,"$41.217,61",$16.745.823,$17.627.182,095
742,Shiden Network SDN,"$0,268799",1.5%,7.2%,13.2%,$383.768,$16.727.400,$21.900.316,076
743,CorgiAI CORGIAI,"$0,000086857605",-0.2%,-2.6%,-27.4%,"$10.630,10",$16.715.306,$43.466.164,038
744,Opulous OPUL,"$0,065205763888",-0.4%,-2.0%,-9.6%,$580.940,$16.714.059,$32.768.993,051
745,OSHI OSHI,"$1.242,35",-0.3%,-0.4%,-5.4%,$305.171,$16.656.137,$16.656.137,100
746,Iron Bank EUR IBEUR,"$1,07",0.0%,-1.3%,-1.4%,$192.941,$16.591.092,$16.591.092,100
747,Aurory AURY,"$0,509958",0.2%,-0.5%,-17.5%,$203.850,$16.543.948,$51.046.320,032
748,Harvest Finance FARM,"$24,66",0.2%,-0.4%,-1.6%,$426.546,$16.530.945,$17.394.856,095
749,PolySwarm NCT,"$0,009560587447",-0.3%,-0.1%,-3.9%,$140.988,$16.516.806,$18.041.846,092
750,DeFi Pulse Index DPI,"$69,06",-4.3%,-10.2%,-4.8%,$672.073,$16.509.145,$16.509.145,100
751,Across Protocol ACX,"$0,063267064733",0.4%,2.5%,-1.0%,$462.447,$16.496.165,$63.047.045,026
752,bZx Protocol BZRX,"$0,025358005789",-0.0%,3.6%,0.0%,"$2.236,12",$16.387.810,$26.118.746,063
753,Streamr XDATA XDATA,"$0,023483833765",-1.0%,-2.8%,-1.3%,$149.681,$16.384.318,$23.199.871,071
754,sBTC SBTC,"$29.332,78",0.0%,0.1%,0.9%,"$0,000000000000",$16.278.138,$16.278.138,100
755,VIDT DAO VIDT,"$0,021039335367",-0.2%,1.0%,3.8%,$1.058.323,$16.181.483,$21.014.603,077
756,Kwenta KWENTA,"$110,14",0.5%,-1.1%,2.6%,$133.168,$16.088.410,$77.285.947,021
757,Santos FC Fan Token SANTOS,"$3,14",-0.2%,-2.6%,-2.8%,$2.150.544,$16.080.925,$94.407.432,017
758,Stafi FIS,"$0,285312",-0.1%,-0.6%,1.3%,$2.451.055,$16.045.605,$32.490.658,049
759,Volt Inu VOLT,"$0,000000257355",0.2%,1.9%,1.6%,$1.254.017,$16.027.962,$17.762.187,090
760,MicrovisionChain SPACE,"$12,53",-0.3%,-6.4%,-18.7%,"$7.837,84",$15.963.347,$263.408.115,006
761,Revain REV,"$0,000188750846",0.0%,-3.6%,-0.6%,$208.813,$15.959.516,$16.054.834,099
762,XCAD Network PLAY PLAY,"$0,072813136510",1.7%,-2.7%,-3.4%,$2.058.927,$15.928.691,$41.141.672,039
763,FIO Protocol FIO,"$0,021923998428",0.3%,1.7%,0.5%,$1.486.712,$15.843.185,$21.889.155,072
764,ZUSD ZUSD,"$0,994439",-0.0%,-0.2%,-0.8%,"$45.572,39",$15.833.079,$15.833.079,100
765,MANTRA OM,"$0,022503383710",-0.4%,-1.6%,1.3%,$2.324.008,$15.739.963,$19.999.901,079
766,Cosplay Token COT,"$0,020875314087",-0.2%,-3.6%,-5.4%,$964.380,$15.719.121,$20.960.017,075
767,PARSIQ PRQ,"$0,084809368059",0.2%,0.1%,2.4%,$257.524,$15.716.125,$26.320.404,060
768,ThetaDrop TDROP,"$0,001434317649",3.1%,5.1%,4.4%,$225.050,$15.679.187,$28.376.571,055
769,Gifto GFT,"$0,015570427092",-0.5%,4.2%,1.5%,$3.612.145,$15.568.449,$15.568.449,100
770,Shadow Token SHDW,"$0,105438",0.2%,0.2%,-8.8%,"$17.204,77",$15.561.228,$17.845.980,087
771,Indigo Protocol INDY,"$2,43",-0.8%,-3.2%,-14.9%,$116.716,$15.525.753,$85.219.122,018
772,AC Milan Fan Token ACM,"$2,14",0.2%,-1.7%,-4.3%,$1.734.235,$15.513.291,$42.678.772,036
773,ZambesiGold ZGD,"$0,369667",-8.2%,2.2%,1.0%,$185.412,$15.491.058,$65.432.656,024
774,Index Coop - ETH 2x Flexible Leverage Index ETH2X-FLI,"$11,94",0.1%,-0.3%,-0.9%,"$7.140,98",$15.486.079,$15.486.079,100
775,Stargaze STARS,"$0,011295202038",-0.1%,13.1%,11.4%,$150.494,$15.444.885,$33.906.917,046
776,Celo Euro CEUR,"$1,08",0.2%,-0.2%,-0.3%,"$49.047,94",$15.434.357,$11.922.577,129
777,veCRV-DAO yVault YVE-CRVDAO,"$0,752165",-,-,-,-,$15.419.092,$15.419.092,-
778,STFX STFX,"$0,044525316898",0.1%,-1.2%,-0.0%,"$29.618,59",$15.310.146,$44.532.689,034
779,NFT Worlds WRLD,"$0,027767149281",1.8%,3.8%,22.1%,$435.717,$15.302.340,$139.382.439,011
780,Ellipsis [OLD] EPS,"$0,021810337814",0.1%,0.5%,-0.2%,"$70,81",$15.227.047,$21.801.329,070
781,GYEN GYEN,"$0,006916551776",0.1%,0.1%,-1.4%,"$78.168,44",$15.175.952,$15.175.952,100
782,TENET TENET,"$0,131412",0.0%,-2.3%,13.5%,$1.429.206,$15.131.800,$157.622.918,010
783,Grai GRAI,"$0,983817",-0.0%,0.0%,-0.6%,$349.771,$15.074.507,$15.073.522,100
784,Enjinstarter EJS,"$0,004030859702",-1.4%,0.2%,10.7%,"$92.069,25",$15.040.336,$20.559.473,073
785,Kleros PNK,"$0,020648652748",-0.2%,1.6%,-17.6%,$373.264,$14.978.944,$15.925.645,094
786,Somnium Space CUBEs CUBE,"$1,01",0.1%,1.0%,3.0%,"$14.077,97",$14.936.351,$100.629.562,015
787,Aleph.im ALEPH,"$0,080520721558",0.2%,-0.7%,-7.6%,"$65.366,64",$14.934.246,$40.052.811,037
788,Circuits of Value COVAL,"$0,008327838831",0.1%,-3.1%,1.2%,"$66.211,61",$14.915.410,$14.915.410,100
789,Pintu PTU,"$0,231591",-0.3%,0.5%,-4.6%,"$2.799,07",$14.899.861,$69.407.050,021
790,TriasLab TRIAS,"$2,98",-0.2%,-2.7%,-11.4%,$396.451,$14.889.090,$29.778.180,050
791,Ethix ETHIX,"$0,210029",-0.0%,-1.1%,-3.6%,"$86,52",$14.799.059,$20.997.391,070
792,Stratos STOS,"$0,547826",-0.1%,-3.3%,13.2%,$330.043,$14.797.403,$54.779.539,027
793,PinkSale PINKSALE,"$147,20",,-0.5%,-1.4%,"$23,84",$14.720.489,$14.720.489,100
794,PIVX PIVX,"$0,194419",0.3%,-0.1%,-2.9%,$459.200,$14.706.327,$14.706.327,100
795,Vite VITE,"$0,014170297243",0.9%,2.5%,1.0%,$1.004.076,$14.680.515,$15.278.160,096
796,Samoyedcoin SAMO,"$0,003660701998",-0.6%,-0.9%,-1.7%,$172.207,$14.618.755,$17.388.462,084
797,Bitcoin 2 BTC2,"$0,812075",-1.2%,1.0%,35.4%,"$1.040,79",$14.575.672,$17.048.158,085
798,Wise WISE,"$0,144116",3.5%,21.7%,3.9%,$446.957,$14.541.351,$86.695.241,017
799,KlimaDAO KLIMA,"$1,68",-0.1%,0.8%,-1.5%,"$17.541,42",$14.444.300,$14.444.300,100
800,XEN Crypto XEN,"$0,000000790787",0.1%,-5.4%,8.1%,$2.111.085,$14.432.004,$14.432.004,100
801,GAMI World GAMI,"$0,367977",-15.0%,11.7%,10.7%,"$10.517,42",$14.362.471,$55.318.820,026
802,Decentral Games Governance XDG,"$0,032592166955",-0.3%,-0.1%,-7.9%,"$1.498,84",$14.329.282,$14.329.282,100
803,Kyber Network Crystal Legacy KNCL,"$0,664064",-0.4%,-4.1%,2.5%,"$46.421,32",$14.329.215,$150.726.619,010
804,Altered State Machine ASTO,"$0,020621548364",1.3%,-2.1%,8.3%,$491.423,$14.293.346,$49.082.439,029
805,AIOZ Network AIOZ,"$0,014753683912",-0.6%,-19.2%,7.5%,$1.382.466,$14.287.231,$14.715.378,097
806,OG Fan Token OG,"$3,64",-0.2%,-1.9%,-2.0%,$5.532.314,$14.198.848,$18.238.131,078
807,Crypto Gladiator League CGL,"$0,009132652087",2.3%,0.8%,4.9%,$230.698,$14.172.419,$28.330.673,050
808,Diamond DMD,"$3,75",1.0%,0.7%,-3.1%,"$8.395,55",$14.131.350,$16.418.529,086
809,UXD Stablecoin UXD,"$1,00",0.0%,-0.1%,0.0%,$473.101,$14.130.487,$9.001.211,157
810,Level LVL,"$1,84",1.2%,-4.3%,-22.7%,$131.912,$14.054.885,$91.998.188,015
811,Arsenal Fan Token AFC,"$1,59",0.0%,-0.4%,-0.4%,$1.967.744,$14.054.253,$63.687.966,022
812,Bonk BONK,"$0,000000326858",-0.3%,-1.3%,-5.4%,$1.840.523,$14.048.522,$30.683.944,046
813,Hacken HAI,"$0,021675658856",-0.5%,-0.4%,0.6%,$472.035,$14.022.427,$21.704.469,065
814,Umee UMEE,"$0,003163177253",0.1%,-6.2%,-6.3%,"$77.547,09",$14.019.220,$37.901.806,037
815,Zano ZANO,"$1,01",0.1%,3.1%,0.5%,"$11.953,82",$14.016.256,-,-
816,ICHI ICHI,"$2,10",0.5%,0.9%,-4.9%,"$67.515,46",$13.998.216,$21.008.273,067
817,Vela Token VELA,"$1,14",-1.0%,1.1%,19.5%,$567.929,$13.990.107,$57.150.610,024
818,ParagonsDAO PDT,"$0,112572",1.2%,27.2%,80.8%,$473.460,$13.983.968,$18.295.616,076
819,Rebel Bots RBLS,"$0,059788868126",0.0%,2.9%,-0.9%,"$69.168,19",$13.981.521,$17.936.288,078
820,Ben BEN,"$0,000000033044",-1.4%,-11.3%,-16.5%,$1.541.963,$13.889.739,$13.889.739,100
821,QASH QASH,"$0,017085988563",1.0%,-7.1%,9.6%,"$25.875,98",$13.838.839,$17.019.719,081
822,Cere Network CERE,"$0,003080378261",0.0%,-1.7%,-1.8%,$159.268,$13.815.759,$30.842.186,045
823,Poolz Finance POOLX,"$2,97",-0.0%,12.3%,11.5%,$772.193,$13.798.147,$16.314.591,085
824,GET Protocol GET,"$1,19",-0.1%,-8.7%,-9.9%,"$22.426,28",$13.771.945,$39.808.679,035
825,Dogechain DC,"$0,000621176551",-1.3%,-3.1%,-6.1%,$378.637,$13.672.501,$105.339.620,013
826,Kitty Inu KITTY,"$0,000018660111",0.1%,-1.5%,-4.7%,"$5.125,22",$13.654.381,$13.654.381,100
827,Delysium AGI,"$0,055053143246",-0.2%,-2.8%,5.8%,$371.352,$13.633.973,$165.097.795,008
828,Hathor HTR,"$0,055137390903",-3.0%,-4.0%,13.6%,$665.059,$13.590.801,$47.933.450,028
829,Presearch PRE,"$0,034138666247",-0.9%,-2.1%,16.1%,"$61.809,64",$13.535.336,$17.065.144,079
830,Alephium ALPH,"$0,284476",-0.3%,-3.9%,-16.4%,"$47.508,17",$13.530.291,$284.400.463,005
831,FEG BSC FEG,"$0,000270482376",-1.4%,-0.4%,23.0%,"$31.443,56",$13.519.923,$27.039.847,050
832,Mute MUTE,"$0,328029",-0.1%,1.6%,-3.0%,$502.287,$13.478.465,$13.478.465,100
833,BurgerCities BURGER,"$0,404716",-0.6%,-1.6%,-2.4%,$6.643.041,$13.453.541,$24.675.005,055
834,Ovr OVR,"$0,260006",-0.7%,0.5%,-2.3%,$615.697,$13.415.740,$23.524.494,057
835,Galaxia GXA,"$0,005204433954",-0.4%,2.2%,1.5%,$397.895,$13.313.946,$52.097.765,026
836,Crypto Carbon Energy CYCE,"$0,650319",0.0%,0.1%,1.0%,$1.577.523,$13.182.101,$27.304.716,048
837,Media Licensing Token MLT,"$0,089819890474",0.1%,3.8%,2.1%,$180.918,$13.144.495,$17.956.781,073
838,MATH MATH,"$0,077129609086",0.1%,0.1%,1.4%,"$97.370,62",$13.087.323,$15.396.850,085
839,Red Kite PKF,"$0,091597340166",-0.2%,-4.6%,-7.7%,"$39.806,65",$13.072.031,$18.358.030,071
840,Toucan Protocol: Base Carbon Tonne BCT,"$0,700969",-0.4%,-1.0%,-3.3%,"$680,42",$13.000.727,$13.000.727,100
841,Popsicle Finance ICE,"$0,849312",-0.9%,-2.2%,-1.7%,"$53.884,72",$12.973.770,$20.511.687,063
842,XANA XETA,"$0,010966987034",2.1%,0.8%,7.8%,$467.225,$12.966.615,$54.858.054,024
843,YUSD Stablecoin YUSD,"$1,00",0.0%,-0.0%,-0.2%,"$26.763,85",$12.906.127,$12.906.127,100
844,Efforce WOZX,"$0,020765287491",3.2%,10.1%,18.4%,$953.955,$12.869.257,$20.664.979,062
845,KI XKI,"$0,027543426783",-0.2%,-2.1%,-1.2%,"$1.896,38",$12.854.307,$26.068.559,049
846,SOLVE SOLVE,"$0,021387338901",1.4%,6.7%,2.7%,$3.146.710,$12.840.792,$21.401.320,060
847,Hegic HEGIC,"$0,011926245883",0.1%,0.5%,-2.4%,$431.574,$12.837.708,$12.837.708,100
848,TrustSwap SWAP,"$0,127709",-0.0%,3.2%,3.2%,$200.064,$12.772.764,$12.773.382,100
849,Dagger XDAG,"$0,010469046670",-1.1%,-5.5%,13.9%,"$26.356,00",$12.750.996,$14.771.468,086
850,Aeternity AE,"$0,030551777878",-3.2%,5.9%,-5.7%,$141.141,$12.738.687,$16.389.407,078
851,GroveCoin GRV,"$0,168348",0.3%,-6.9%,-18.6%,$1.184.381,$12.686.156,$16.887.119,075
852,Optimus AI OPTI,"$0,126901",-0.5%,6.3%,35.8%,$175.019,$12.664.650,$12.664.650,100
853,NUM Token NUM,"$0,024602100348",-0.6%,-6.1%,-11.2%,$111.349,$12.641.341,$24.610.859,051
854,WeWay WWY,"$0,004767045300",-0.0%,-1.7%,-4.9%,$300.602,$12.637.013,$47.671.957,027
855,rETH2 RETH2,"$1.821,71",0.1%,-0.1%,-0.6%,"$11.669,55",$12.635.020,$12.635.020,100
856,Vectorspace AI VXV,"$0,332582",-0.1%,-4.3%,4.0%,"$94.355,99",$12.628.693,$16.628.980,076
857,ShapeShift FOX FOX,"$0,022151654619",1.4%,12.3%,16.3%,$1.080.153,$12.621.165,$22.277.887,057
858,Boson Protocol BOSON,"$0,117188",0.4%,5.2%,-5.3%,$561.131,$12.615.191,$23.419.604,054
859,SideShift XAI,"$0,100513",0.2%,-4.7%,-6.6%,"$4.057,47",$12.551.989,$21.102.655,059
860,Boosted LUSD BLUSD,"$1,15",0.1%,-0.1%,-1.0%,"$23.837,97",$12.401.945,$12.401.945,100
861,Galatasaray Fan Token GAL,"$2,45",-0.3%,-0.7%,-0.6%,$3.466.666,$12.353.595,$24.487.118,050
862,Strips Finance STRP,"$0,411857",1.0%,0.3%,-2.0%,"$18.683,33",$12.342.422,$40.757.464,030
863,OctaSpace OCTA,"$0,601838",1.8%,-15.8%,-22.6%,$116.715,$12.290.040,$28.382.698,043
864,Drep DREP,"$0,252208",-0.3%,-0.7%,2.7%,$1.322.866,$12.288.079,$25.212.781,049
865,RAI Finance SOFI,"$0,026754749818",-0.1%,-2.5%,-21.3%,$383.792,$12.266.302,$27.388.163,045
866,Spool SPOOL,"$0,324015",-0.1%,-0.2%,-9.7%,"$80.410,70",$12.101.442,$68.040.274,018
867,Hydra HYDRA,"$0,544625",-0.2%,-1.8%,-10.5%,$395.819,$12.098.541,-,-
868,Syntropy NOIA,"$0,025236907119",-0.3%,3.3%,-5.7%,$258.505,$12.095.593,$25.226.075,048
869,Itheum ITHEUM,"$0,020350613547",-0.4%,-1.6%,-4.9%,"$2.552,87",$12.072.947,$20.376.283,059
870,Observer OBSR,"$0,002088782661",0.5%,46.6%,75.4%,$12.360.006,$12.066.530,$29.090.591,041
871,Buying.com BUY,"$0,022114002445",0.1%,0.1%,-0.0%,$287.370,$11.995.143,$22.090.737,054
872,Fuse FUSE,"$0,050902469915",0.0%,-0.1%,-1.9%,$822.238,$11.991.925,$18.093.146,066
873,Wonderland TIME TIME,"$13,28",-0.3%,-1.6%,-1.5%,"$1.725,66",$11.957.728,$690.307.580,002
874,holoride RIDE,"$0,016900318258",0.5%,-1.6%,-2.2%,"$19.271,33",$11.859.960,$16.898.820,070
875,Velodrome Finance VELO,"$0,089953085303",0.2%,2.0%,-17.9%,$959.407,$11.846.701,$100.507.330,012
876,Steam Exchange STEAMX,"$0,000118259845",-,-,-,-,$11.825.984,$11.825.984,-
877,Stader BNBx BNBX,"$254,27",0.1%,-0.3%,-2.3%,$125.859,$11.808.721,-,-
878,ISKRA Token ISK,"$0,228664",-0.1%,-0.9%,4.5%,"$63.955,73",$11.782.402,$228.658.122,005
879,FEG ETH FEG,"$0,000235370164",-0.1%,0.3%,1.4%,"$51.264,99",$11.765.932,$23.531.864,050
880,Phantasma SOUL,"$0,096831998553",-0.9%,-1.4%,-2.2%,$137.508,$11.763.628,$11.763.628,100
881,Giddy GDDY,"$0,009776249351",0.0%,-2.1%,-3.5%,"$44.695,91",$11.749.344,$9.771.902,120
882,chrono.tech TIME,"$16,51",0.5%,-2.2%,-0.8%,$307.709,$11.687.952,$11.687.952,100
883,Camelot Token GRAIL,"$912,65",-0.4%,-0.8%,-15.0%,$567.321,$11.658.408,$91.073.147,013
884,SaucerSwap SAUCE,"$0,025183317005",-2.0%,4.5%,25.6%,$283.546,$11.627.288,$24.965.127,047
885,Ion ION,"$542,08",-0.3%,-2.3%,-1.4%,"$5.774,04",$11.546.037,$11.546.037,100
886,Ooki OOKI,"$0,002588765489",0.2%,-4.1%,-5.9%,$771.015,$11.515.117,$26.642.134,043
887,Newscrypto Coin NWC,"$0,067961062624",0.1%,-1.0%,-2.1%,"$52.162,51",$11.493.201,$19.002.752,060
888,ApolloX APX,"$0,026416394883",0.9%,-0.6%,-15.3%,"$12.752,78",$11.486.329,$264.305.265,004
889,LIF3 LIF3,"$0,005432165159",-1.0%,-6.2%,-17.1%,"$14.064,37",$11.476.852,$48.242.347,024
890,Silo Finance SILO,"$0,046323426512",0.1%,-1.3%,1.3%,"$28.916,11",$11.393.206,$46.322.584,025
891,Impossible Finance Launchpad IDIA,"$0,016320800562",-2.6%,-4.3%,-9.0%,"$9.810,15",$11.365.650,$16.318.985,070
892,Tokenlon LON,"$0,445873",4.1%,0.8%,2.5%,$417.278,$11.348.039,$89.558.865,013
893,Mare Finance MARE,"$0,296615",-0.4%,1.7%,153.5%,"$2.774,70",$11.304.441,$29.648.311,038
894,Augur REP,"$1,40",0.3%,-1.7%,-3.4%,$1.315.033,$11.219.646,$11.219.646,100
895,USDX USDX,"$0,920601",-0.1%,-1.1%,-2.3%,$681.895,$11.180.173,-,-
896,Hera Finance HERA,"$3,11",-1.1%,6.1%,6.3%,"$59.994,07",$11.167.101,$31.132.146,036
897,Sphere Finance SPHERE,"$0,001462812418",-0.4%,-4.2%,-6.7%,"$8.443,81",$11.160.387,$13.040.206,086
898,Not Financial Advice NFAI,"$0,147573",1.0%,3.9%,12.9%,"$61.532,26",$11.091.440,$14.759.697,075
899,Rhino.fi DVF,"$0,736797",0.4%,-0.8%,1.4%,"$5.968,46",$11.083.834,$73.639.821,015
900,Yoshi.exchange YOSHI,"$0,040164932964",-0.2%,-0.3%,-0.2%,"$35.414,95",$11.062.292,$40.162.861,028
901,Meta Apes PEEL PEEL,"$0,062325206362",-0.2%,-0.5%,-4.5%,$731.812,$10.954.206,$62.370.139,018
902,Cult DAO CULT,"$0,000002544389",-0.3%,-6.0%,1.0%,$1.188.023,$10.928.144,$16.959.491,064
903,Dimitra DMTR,"$0,027516736950",0.2%,-7.5%,-11.4%,$162.951,$10.922.675,$27.520.036,040
904,Octopus Network OCT,"$0,141088",-0.1%,-0.4%,2.1%,$275.522,$10.913.088,$14.120.470,077
905,Undead Blocks UNDEAD,"$0,081116980674",0.2%,-0.1%,-2.1%,$126.163,$10.910.896,$40.410.724,027
906,STEPN Green Satoshi Token on ETH GST-ETH,"$0,235921",-0.4%,-0.3%,-8.6%,"$32.791,01",$10.900.204,$7.077.159,154
907,Rarible RARI,"$0,930700",-8.4%,-6.6%,-9.0%,$342.184,$10.888.139,$23.508.640,046
908,ForTube FOR,"$0,019325914862",0.8%,4.0%,1.0%,$2.355.606,$10.887.178,$19.313.163,056
909,Bitcoin Diamond BCD,"$0,057506564721",-1.2%,-8.4%,-1.6%,"$27.810,64",$10.829.223,$12.086.385,090
910,Areon Network AREA,"$0,158345",0.0%,-1.2%,-0.1%,"$84.140,28",$10.804.020,$79.155.812,014
911,Inter Milan Fan Token INTER,"$1,99",0.1%,-0.9%,-15.4%,$797.379,$10.802.166,$39.673.473,027
912,AirDAO AMB,"$0,006780400185",-1.3%,-5.7%,1.7%,$2.995.979,$10.758.812,$43.192.524,025
913,DIMO DIMO,"$0,080004164899",-0.1%,-0.3%,-1.1%,"$40.913,15",$10.732.825,$80.029.057,013
914,Metacade MCADE,"$0,007227485489",-0.2%,-11.3%,-16.2%,$223.775,$10.704.040,$14.450.965,074
915,SWFTCOIN SWFTC,"$0,001195669855",0.1%,-1.9%,-4.8%,$1.653.205,$10.699.071,$11.942.260,090
916,Revolution Populi RVP,"$0,008845618569",0.5%,2.8%,-9.8%,"$24.365,91",$10.643.403,$17.739.005,060
917,Plugin PLI,"$0,143362",-0.6%,16.7%,89.7%,$132.378,$10.590.635,$72.626.108,015
918,Taboo TABOO,"$0,001103527289",4.6%,0.3%,2.2%,$336.683,$10.531.167,$10.531.167,100
919,hi Dollar HI,"$0,003361451739",0.8%,-1.2%,-0.1%,$242.852,$10.512.061,$44.106.220,024
920,Games for a Living GFAL,"$0,014497234856",-1.6%,-3.5%,4.3%,$234.881,$10.487.324,$146.238.381,007
921,AMO Coin AMO,"$0,000545051490",-1.2%,2.3%,2.1%,$483.400,$10.443.645,$11.591.899,090
922,Cratos CRTS,"$0,000191357533",-0.3%,0.1%,-0.4%,$176.744,$10.409.717,$19.282.193,054
923,Rari Governance RGT,"$0,924688",1.0%,-11.2%,-17.5%,"$38.791,20",$10.409.544,$11.546.684,090
924,Conic CNC,"$2,17",0.7%,-0.6%,-7.6%,"$24.961,72",$10.370.892,$21.559.400,048
925,Tokemak TOKE,"$0,604879",0.0%,0.4%,1.6%,"$92.764,87",$10.366.400,$60.507.711,017
926,Aave [OLD] LEND,"$0,288029",0.0%,-54.7%,-4.4%,"$186,01",$10.349.560,$374.284.857,003
927,Cream CREAM,"$13,47",0.3%,-0.2%,-2.1%,$499.125,$10.326.621,$121.246.384,009
928,Vela Exchange DXP,"$1,18",-1.1%,3.0%,23.6%,"$1.027,64",$10.319.111,$117.932.694,009
929,Atletico Madrid Fan Token ATM,"$2,68",0.1%,-2.4%,-3.4%,$1.289.410,$10.302.460,$26.751.555,039
930,Ferro FER,"$0,010202825804",0.2%,2.4%,-1.2%,"$32.018,32",$10.297.245,$51.558.019,020
931,Gamma Strategies GAMMA,"$0,175176",-1.1%,-12.4%,-10.1%,$181.203,$10.286.239,$17.516.418,059
932,PER Project PER,"$0,033045920331",-0.2%,-0.9%,-2.8%,"$1.510,48",$10.250.358,$19.737.532,052
933,UNCX Network UNCX,"$282,79",0.0%,-11.0%,-4.3%,"$5.815,82",$10.228.300,$13.477.270,076
934,PowerPool Concentrated Voting Power CVP,"$0,318414",0.2%,-0.0%,0.4%,$3.607.971,$10.201.573,$31.847.541,032
935,BigShortBets BIGSB,"$1,05",-,-,-,-,$10.168.731,$104.794.744,-
936,Peercoin PPC,"$0,358402",0.1%,0.9%,-0.3%,"$1.892,70",$10.153.858,$9.768.075,104
937,MarsDAO MDAO,"$0,142141",-0.7%,-0.9%,-0.9%,"$93.520,73",$10.149.586,$14.224.099,071
938,Juventus Fan Token JUV,"$2,30",-0.0%,-1.2%,-4.4%,$911.540,$10.146.533,$45.989.971,022
939,Era Swap ES,"$0,004766978889",0.1%,-0.0%,-5.8%,$333.052,$10.143.383,$43.378.155,023
940,Splintershards SPS,"$0,020666899574",-0.1%,-0.7%,-8.4%,$200.641,$10.122.643,$62.010.959,016
941,CoW Protocol COW,"$0,065211816358",-1.4%,-2.5%,-2.3%,"$7.950,46",$10.003.279,$65.212.058,015
942,Choise.com CHO,"$0,090690673261",-1.3%,14.4%,15.7%,$1.053.488,$9.961.707,$90.913.148,011
943,Dexalot ALOT,"$0,406556",0.0%,1.0%,7.0%,"$13.855,45",$9.864.342,$40.641.571,024
944,Unibright UBT,"$0,068815676898",2.8%,10.2%,-16.0%,$393.965,$9.863.666,$9.863.666,100
